Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU
1,1,118,,,G5V-1,,,54,
2,1,422,,,G5V-2,,,96,
3,1,2N2222A/ZTX,,,Q1,,,25,
4,1,10Meg,,,R1,,,90,
5,1,7.5Meg,,,R2,,,66,
6,1,100Meg,,,R3,,,57,
7,1,1k,,,R4,,,22,
8,1,94k,,,R5,,,12,
9,1,1k,,,R6,,,75,
10,1,2.96k,,,R7,,,60,
11,1,478,,,R8,,,41,
12,1,1k,,,R9,,,18,
13,1,1k,,,R10,,,93,
14,1,763,,,R11,,,38,
15,1,1k,,,R12,,,3,
16,1,659,,,R13,,,50,
17,1,300,,,R14,,,15,
18,1,24.94k,,,R15,,,81,
19,1,8.06,,,R16,,,78,
20,1,{k},,,R_SENZOR,,,63,
21,1,AD8574/AD,,,U5,,,84,
22,1,LM324,,,U6,,,32,
23,1,TL082,,,U10,,,6,
24,1,LM324,,,U17,,,44,
